                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      8.9999999999999997E-002      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                            model_number                                 star_age                                star_mass                                    log_L                                 log_Teff                                    log_R 
                                    3650                  3.5665731516869302E+012                  8.9999999999999997E-002                 -2.7055042104212439E+000                  3.5324772366137744E+000                 -8.9444774198554355E-001 
                                    3700                  3.6165731516869204E+012                  8.9999999999999997E-002                 -2.7072158405513567E+000                  3.5341998046418763E+000                 -8.9874869310680527E-001 
                                    3750                  3.6665731516869106E+012                  8.9999999999999997E-002                 -2.7171057333489399E+000                  3.5367019470792953E+000                 -9.0869792438043340E-001 
                                    3800                  3.7165731516869009E+012                  8.9999999999999997E-002                 -2.7143820025753631E+000                  3.5411309164961517E+000                 -9.1619399782735900E-001 
                                    3850                  3.7665731516868911E+012                  8.9999999999999997E-002                 -2.6846409066222674E+000                  3.5506756217887565E+000                 -9.2041286043602011E-001 
                                    3900                  3.8165731516868818E+012                  8.9999999999999997E-002                 -2.6117785129960964E+000                  3.5735035902344703E+000                 -9.2963760051436117E-001 
                                    3950                  3.8665731516868721E+012                  8.9999999999999997E-002                 -2.5083701342391667E+000                  3.6047842446385672E+000                 -9.4049471994409140E-001 
                                    4000                  3.9165731516868623E+012                  8.9999999999999997E-002                 -2.3886810641758087E+000                  3.6625792755972357E+000                 -9.9624024682974888E-001 
                                    4050                  3.9665731516868525E+012                  8.9999999999999997E-002                 -2.4989467137076140E+000                  3.7101508103698189E+000                 -1.1465161411408185E+000 
                                    4100                  4.0165731516868428E+012                  8.9999999999999997E-002                 -2.9697126534950176E+000                  3.6850350465886756E+000                 -1.3316675834722331E+000 
                                    4150                  4.0663331516868330E+012                  8.9999999999999997E-002                 -3.4521849856459368E+000                  3.6106432924359115E+000                 -1.4241202412421645E+000 
                                    4156                  4.0723331516868320E+012                  8.9999999999999997E-002                 -3.5704948740802656E+000                  3.5893591442855062E+000                 -1.4407068891585180E+000 
                                    4200                  4.0838736010613262E+012                  8.9999999999999997E-002                 -5.1050932807819525E+000                  3.2622945486971968E+000                 -1.5538769013327434E+000 
                                    4248                  4.1081371121549927E+012                  8.9999999999999997E-002                 -6.1445082266366926E+000                  3.0075021111867350E+000                 -1.5639994992391899E+000 
